Title,Helpfull-statement,Username,Images,Rating,Creation-date,Review
This product is really good.. its not that heavy to wear,One person found this helpful,anwesha bhowmick,-,5,2020-09-29T17:59:17,This product is really good..its not that heavy to wear..that pink color in dial will go with any dress you wear...really good!!
Good for college girls,-,ss,-,5,2020-09-17T17:59:17,Dial is a bit small than expected  but good for college going girls ....due to its casual look...it s not for professionals or office going...
Beautiful watch,One person found this helpful,RYRS,-,5,2020-09-29T17:59:17,Beautiful watch... Worth d buy. Go for it. But it s little loose.. Need to alter a bit.
Unable to find 6to 10 clock  no indications. Please update in next manufacturing,One person found this helpful,rajak sk,-,5,2020-09-25T15:59:17,Unable to found 6 to 10 hours. No indications are available in that situation we have to ask other persons for time. Please consider this review and update in next manufacturing.
Best one,-,T.vijaya lakshmi,-,5,2020-03-24T12:32:17,Gifted it to my sister before 3 years. As the brand FasTrack promise best products always  its working well till today. I hope it lasts for another 5-6 years easily. Happy for this
Good Product,-,Srilakshmi,-,5,2020-06-27T11:59:17,Good product. Both strap design and dial colour is good and looks good on hands. I dint find any working or battery problem of it till now. I am Writing this review after almost 5-6 months of purchasing and using this product.
Value for money,-,Mohammed Yakub Nawaz,-,5,2020-08-13T14:59:17,I loved the product. It s beautiful. One doesn t have to think twice in case of purchasing watches on Amazon!! This is my 3rd purchase ( talking about watches only) and as always  I m delighted.
Excellent choice,-,Amazon Customer,-,5,2020-07-16T12:59:17,Excellent condition... My friend loved it
Nice n trendy watch,-,ANADI GUPTA,-,5,2020-08-01T17:23:17,Nice watch.. The dail is a bit small as shown in the picture.. However perfect for gifting in the price.
Very good product. Worth to buy.,-,Amazon Customer,-,5,2020-03-24T12:32:17,It s a good product from fast track. I have bought for my girlfriend. And she liked it. Color combination is also very beautiful.
Fastrack rocks,-,Rahul,-,5,2020-07-12T13:59:17,Good looking woman s watch for daily use.
Simple elegant and trendy,-,Janson Fernandes,-,5,2020-09-06T17:39:17,It is a very nice product. Simple elegant and trendy at the same time. It s dial is suitable for any wrist size. I gifted it to a friend and she is absolutely loves it.
Total scam! Received defective quality. Warranty card not signed.,-,Nikhil T.Vinod,-,5,2020-07-16T12:59:17,Total scam!!! Received defective quality! Battery dead. Warranty card not signed. I cancelled the ordered before receiving. Still they delivered the package. Totally disappointed with the service.
Excellent look,One person found this helpful,Madhu,-,5,2020-07-23T17:59:17,Your browser does not support HTML5 video.  Looks pretty good worth buying for my darling
Amazing for the price,-,Gurpreet Kaur,-,5,2020-08-24T11:59:17,I saw the picture reviews of this watch and thought to go for it. And yes it is amazing. Color  quality  packaging. Everything is superb. The dial is perfect sized  watch looks classy. Just go for it!
Nice watch and perfect gift.,-,sonali,-,5,2020-01-18T17:53:17,Nice watch. No doubt about qulity my husband gifted me this watch and i am happy with this. But problm the belt is quite lose but can manage it.But the amazon courier service took long time to deliver product.
Nice,-,Lavanya,-,5,2020-01-11T11:59:17,Nice
Good one,-,Amazon Customer,-,5,2020-09-25T15:59:17,Nice
Good product,-,deeksha shakya,-,5,2020-07-23T17:59:17,Packaging was good compare to other shopping site.dial is quite small but product was good quality is also good
Look good,-,Amit singh,-,5,2020-03-24T12:32:17,Look good
Comfortable,-,Ashish,-,5,2020-04-23T14:12:17,It s dial look awosme and premium. Its chain is comfortable. Not wearable at hilly places coz it become too cold due to its s s chain.
Original Fastrack watch,-,Jigar,-,5,2020-08-22T17:59:17,Good product and orignal
Good watch,-,sai sindhu,-,5,2020-08-13T14:59:17,It s a good one..the only problem Is warranty is not mentioned...
Must buy,-,Aisha Nelofer,-,5,2020-01-18T17:53:17,Stylish watch at a reasonable price. Value for money. Just loved it. It could be gifted to your beloved ones. Go for it. Thank you Fastrack and Amazon.
Good choice,-,Sathvika,-,5,2020-05-15T12:59:17,If anyone is looking for good fastrack watch with medium sized dial which is within the budget of 1500  then undoubtedly one can go for it...!!
Good product,-,divyanshi,-,5,2020-09-06T17:39:17,A good product for its price
